WKT,ID,Use_Cat,Cons_Frame
POINT (431977.792078819 8448568.450644528),8008,,
POINT (431723.3168674654 8448568.15801985),19679,,
POINT (432037.88553750067 8448642.302809915),17720,,
POINT (432229.4800782865 8448946.372216387),16231,,
POINT (432178.3876466285 8448806.91433323),2278,,
POINT (432188.0433544565 8448759.621837674),12620,,
POINT (432176.25175661367 8448759.57390783),12777,,
POINT (432047.7596097038 8448636.113747176),16115,,
POINT (431654.248315666 8449765.04145288),17848,,
POINT (432218.61877447675 8448951.856678534),17573,,
POINT (432010.5253925551 8448625.724684864),18235,,
POINT (432155.6649484288 8448799.242497424),9608,,
POINT (432204.64426937647 8448991.847174736),16935,,
POINT (432161.15010231826 8448807.340962777),11785,,
POINT (432006.19190186745 8448640.156854156),8442,,
POINT (432174.5015148789 8448748.09165511),16631,,
POINT (432067.8535921437 8448601.240781346),2160,,
POINT (432092.8613062716 8448635.685199419),13873,,
POINT (432209.26461055543 8448586.030749677),3384,,
POINT (431741.59346320765 8448564.832216645),12984,,
POINT (432214.0741598475 8448567.889355563),14179,,
POINT (432262.8095964374 8448689.669892129),1502,,
POINT (431935.7282131471 8448710.602254212),15095,,
POINT (432411.93474312214 8448069.902242836),12397,Outbuilding,Masonry
POINT (432288.52846524003 8448055.002362477),16268,Religious,Masonry
POINT (432402.4667687717 8448102.855397401),4394,Residential,Masonry
POINT (432373.6803202773 8448127.34964391),17967,Outbuilding,Masonry
POINT (432423.1626323901 8448134.890814826),18782,Outbuilding,Masonry
POINT (432402.74309637607 8448131.004342906),773,Outbuilding,Masonry
POINT (432347.74958121305 8448096.625338115),2079,Residential,Masonry
POINT (432260.5055085995 8448058.988601452),14993,Residential,Masonry
POINT (432336.9209261072 8448114.583413083),600,Outbuilding,Masonry
POINT (432302.8282740005 8448114.289660955),17989,Outbuilding,Masonry
POINT (432235.43538680446 8448093.553063568),18418,Outbuilding,Masonry
POINT (432314.8508405045 8448069.858248278),2928,Religious,Masonry
POINT (432370.33382544987 8448102.182880964),19693,Residential,Masonry
