ID,Use_Cat,Cons_Frame,lat,long
1340,Residential,Masonry,-14.022453719441156,-171.7111604038577
1341,Outbuilding,Masonry,-14.022256088525651,-171.71121541991192
1807,,,-14.036327199999908,-171.5819994
18939,,,-14.038518599931527,-171.58319179992154
8528,Residential,Masonry,-14.035541950000432,-171.67817074999687
9651,Outbuilding,Masonry,-14.030029994796914,-171.68537385037814
16787,,,-14.027958909534942,-171.62108887051772
14050,,,-14.027865750000064,-171.62126410000113
18178,,,-14.03257374999896,-171.6196989000003
54,,,-14.031380400003002,-171.62030654999865
19796,,,-14.028450750000319,-171.62167785000003
9226,,,-14.030193725090532,-171.61860209405862
8025,,,-14.028548299999542,-171.6219109499998
8123,,,-14.030554700000026,-171.62102920000007
6323,,,-14.029928700000246,-171.62101734999993
13244,,,-14.031431999998993,-171.62010175000412
13098,,,-14.030543186402586,-171.6208287755524
12742,,,-14.02788942064556,-171.62111934137835
17662,,,-14.028675600001728,-171.62166015000082
7979,,,-14.030260100000234,-171.61861560000003
12194,,,-14.02229967347534,-171.62238185555688
16623,,,-14.027719771700395,-171.62322626254786
6127,,,-14.03148675755184,-171.6203585706095
16161,,,-14.030523699999684,-171.61789854999995
4024,,,-14.03031859999998,-171.61838235000002
2735,,,-14.029079703413311,-171.6189465796031
5140,,,-14.031204750000423,-171.61779875000005
6524,,,-14.03061791077776,-171.61782677612658
19686,,,-14.029088028994646,-171.61909739061215
5056,,,-14.029211950004779,-171.61897960000005
15281,,,-14.029856700001844,-171.61953900000083
11939,,,-14.024805899999627,-171.61819905000021
19789,,,-14.031295695957436,-171.61775562490908
14788,,,-14.024825799999979,-171.61825505000016
1662,,,-14.030529027891923,-171.61781494165686
5206,,,-14.029032200000342,-171.61890980000007
13884,,,-14.029812329607326,-171.61969084594278
16672,Residential,Masonry,-14.029075106942786,-171.70089686580178
14333,Residential,Masonry,-14.036739006986675,-171.62858142148238
1555,Outbuilding,Masonry,-14.025493963970135,-171.69994512001182
1556,Residential,Masonry,-14.025461320921158,-171.70042479906465
14738,,,-14.02903000000076,-171.6190202500001
1160,,,-14.027138550000352,-171.62244895000003
9552,,,-14.029151833986518,-171.61977761833634
11709,,,-14.027050911303204,-171.6225376736594
6094,,,-14.029127800000449,-171.61884315000026
9802,,,-14.02467640000069,-171.62192860000042
16253,,,-14.031151450002604,-171.6179425500002
18729,,,-14.027082958564316,-171.61970007628722
11396,,,-14.027037048787788,-171.62240835337866
16409,,,-14.027451661693476,-171.62368380411712
16637,,,-14.028086787059202,-171.62123729858837
14739,,,-14.02821662297256,-171.6210778201065
10347,,,-14.030306816767526,-171.61796502940427
14374,,,-14.027572967008947,-171.62340200379325
19387,,,-14.029661049254544,-171.61963588633458
10750,,,-14.0303180486137,-171.62000770736967
7779,Religious,Reinforced Concrete,-14.034944255149865,-171.6200004061888
15815,Residential,Masonry,-14.03480899534464,-171.62029069203768
